protocol_name,url,program,primary_sp,sp_class,fossil_displacement,notes
AM0064 Capture and utilisation or destruction of mine methane (excluding coal mines) or non mine methane,https://cdm.unfccc.int/methodologies/DB/QLL3A0UOVTRHNMH4WO7A2GCROW8CQ9,CDM,CH4,short-lived,yes,
AM0080 Mitigation of greenhouse gases emissions with treatment of wastewater in aerobic wastewater treatment plants,https://cdm.unfccc.int/methodologies/DB/6DITU9V0SFOR7EUYEBBVRHCAO2RD3Q,CDM,CH4,short-lived,yes,
AMS-III.AO. Methane recovery through controlled anaerobic digestion,https://cdm.unfccc.int/methodologies/DB/F5U41CTG7ENWK9RSSL5BV1LUPDG76W,CDM,CH4,short-lived,no,
AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,https://cdm.unfccc.int/methodologies/DB/D14KAKRJEW4OTHEA4YJICOHM26M6BM,CDM,CH4,short-lived,no,
AMS-III.D. Methane recovery in animal manure management systems,https://cdm.unfccc.int/methodologies/DB/H9DVSB24O7GEZQYLYNWUX23YS6G4RC,CDM,CH4,short-lived,no,
"AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/ thermal treatment",https://cdm.unfccc.int/methodologies/DB/AZB89EQ3FIRUIN1Q80MS80RXCLA2TS,CDM,CH4,short-lived,no,Credit for fossil displacement could be given under a companion methodology. 
AMS-III.F. Avoidance of methane emissions through composting,https://cdm.unfccc.int/methodologies/DB/NZ83KB7YHBIA7HL2U1PCNAOCHPUQYX,CDM,CH4,short-lived,no,
AMS-III.G. Landfill methane recovery,https://cdm.unfccc.int/methodologies/DB/0KHNES8D09H134V3TZDQ47C3LQL3H2,CDM,CH4,short-lived,yes,
AMS-III.H. Methane recovery in wastewater treatment,https://cdm.unfccc.int/methodologies/DB/K7FDTJ4FL3432I1UKRNKLDCUFAMBX7,CDM,CH4,short-lived,no,
AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems,https://cdm.unfccc.int/methodologies/DB/Z5A2LR9Q7XS906TDS4XDC8MKORZ63R,CDM,CH4,short-lived,no,
AMS-III.R. Methane recovery in agricultural activities at household/small farm level,https://cdm.unfccc.int/methodologies/DB/VYC0OHPKABZWTCYW6GJC82J8XYPE9H,CDM,CH4,short-lived,yes,
AMS-III.Y. Methane avoidance through separation of solids from wastewater or manure treatment systems,https://cdm.unfccc.int/methodologies/DB/IR1ULTHWQKPQO992O3UJTTLELME23L,CDM,CH4,short-lived,no,
VM0014 Interception and Destruction of Fugitive Methane from Coal Bed Methane (CBM) Seeps,https://verra.org/methodologies/vm0014-interception-and-destruction-of-fugitive-methane-from-coal-bed-methane-cbm-seeps-v1-0/,VCS,CH4,short-lived,yes,
VM0041 Methodology for the Reduction of Enteric Methane Emissions from Ruminants through the Use of Feed Ingredients,https://verra.org/methodologies/revision-to-vm0041-methodology-for-the-reduction-of-enteric-methane-emissions-from-ruminants-through-the-use-of-100-natural-feed-supplement-v1/,VCS,CH4,short-lived,no,
VM0051 Improved Management in Rice Production Systems,https://verra.org/methodologies/improved-management-in-rice-production-systems/,VCS,CH4,short-lived,no,
VMR0001 Revisions to ACM0008 to Include Pre-drainage of Methane from an Active Open Cast Mine as a Methane Emission Reduction Activity,https://verra.org/methodologies/vmr0001-revisions-to-acm0008-to-include-pre-drainage-of-methane-from-an-active-open-cast-mine-as-a-methane-emission-reduction-activity-v1-0/,VCS,CH4,short-lived,yes,
VMR0002 Revisions to ACM0008 to Include Methane Capture and Destruction from Abandoned Coal Mines,https://verra.org/methodologies/vmr0002-revisions-to-acm0008-to-include-methane-capture-and-destruction-from-abandoned-coal-mines-v1-0/,VCS,CH4,short-lived,yes,
VMR0016 Flaring or Use of Landfill Gas (ACM0001 Revision),https://verra.org/methodologies/vmr0016-flaring-or-use-of-landfill-gas-acm0001-revision-v1-0/,VCS,CH4,short-lived,yes,
AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,https://cdm.unfccc.int/methodologies/DB/2N19WQ6DCXNYRNJVZQQOHG7TK0Q2D8,CDM,"CH4, N2O",mixed,yes,
GS Methodology For Animal Waste Managment And Biogas Application,https://globalgoals.goldstandard.org/standards/433_V1.0_Methodology-for-Animal-Manure-Management-and-Biogas-Use-for-Thermal-Energy-Generation.pdf,GS,"CH4, N2O",mixed,yes,
GS methodology for Manure Management Systems and Municipal Solid Waste,https://globalgoals.goldstandard.org/standards/PRE-GS4GG-Energy//ghg-ers-from-manure-management-systems-and-municipal-solid-waste-1.pdf,GS,"CH4, N2O",mixed,yes,
ACM0010 GHG emission reductions from manure management systems,https://cdm.unfccc.int/methodologies/DB/99QRTE6N5QJEBOV2XP374B25SSIXBB,CDM,"CH4, N2O",mixed,yes,
AM0016 Greenhouse gas mitigation from improved animal waste management systems in confined animal feeding operations,https://cdm.unfccc.int/methodologies/DB/ATTQFAYJG4GS1ZV3PN2PNWFMZJQ70X,CDM,"CH4, N2O",mixed,no,
AM0001 Decomposition of fluoroform (HFC-23) waste streams,https://cdm.unfccc.int/methodologies/DB/GAOZAY2DWIQHK71LJS027N6N4AV6SC,CDM,HFC,long-lived,no,HFC-23 focused
VM0001 Infrared Automatic Refrigerant Leak Detection Efficiency Project Methodology,https://verra.org/methodologies/vm0001-refrigerant-leak-detection-v1-2/,VCS,HFC,mixed,no,
"ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",https://acrcarbon.org/wp-content/uploads/2023/09/ACR-Certified-Reclaimed-HFC_V2.0-FINAL.pdf ,ACR,HFC,mixed,no,
ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,https://acrcarbon.org/wp-content/uploads/2023/03/ACR-FBA-v3.0.pdf,ACR,HFC,short-lived,no,Names (but does not restrict eligiility) to short-lived blowing agents
ACR Methodology for Quantifying Nitrous Oxide (N2O) Emissions Reductions from Reduced Use of Nitrogen Fertilizer on Agricultural Crops,https://acrcarbon.org/wp-content/uploads/2023/03/METHOD1.pdf,ACR,N2O,long-lived,no,
Nitrous Oxide Abatement Protocol,,ACR,N2O,long-lived,no,Methodology not available by name on ACR website
CAR China Adipic Acid Production Protocol,https://climateactionreserve.org/how/protocols/industrial/china-adipic-acid/,CAR,N2O,long-lived,no,
CAR U.S. Adipic Acid Production Protocol,https://climateactionreserve.org/how/protocols/industrial/adipic-acid-production/,CAR,N2O,long-lived,no,
CAR U.S. Nitric Acid Production Protocol,https://climateactionreserve.org/how/protocols/industrial/nitric-acid-production/,CAR,N2O,long-lived,no,
CAR U.S. Nitrogen Management Protocol,https://climateactionreserve.org/how/protocols/ncs/nitrogen-management/,CAR,N2O,long-lived,no,
ACM0019 N2O abatement from nitric acid production,https://cdm.unfccc.int/methodologies/DB/HKCO7RKOQO748WNXJNDEW3BJT9XN8L,CDM,N2O,long-lived,no,
AM0028 N2O destruction in the tail gas of caprolactam production plants,https://cdm.unfccc.int/methodologies/DB/Y0S50SAZFK4FJOMZH2T7EN1I3HI8T0,CDM,N2O,long-lived,no,
AM0034 Catalytic reduction of N2O inside the ammonia burner of nitric acid plants,https://cdm.unfccc.int/methodologies/DB/993RRDBB2WJI9TAD2XCKPK5YATQXY6,CDM,N2O,long-lived,no,
VM0022 Quantifying N2O Emissions Reductions in Agricultural Crops through Nitrogen Fertilizer Rate Reduction,https://verra.org/methodologies/vm0022-quantifying-n2o-emissions-reductions-in-agricultural-crops-through-nitrogen-fertilizer-rate-reduction-v1-1/,VCS,N2O,long-lived,no,
AM0065 Replacement of SF6 with alternate cover gas in the magnesium industry,https://cdm.unfccc.int/methodologies/DB/GNX2U6RAUIP1UD1IP3CRDPVPPIGSS0,CDM,SF6,long-lived,no,
